Cód.,Vinho e Produtor,Preço, Preço CNPJ ,Caixa,Estoque,Classificação,,
,,,,,,,,
,FRANÇA,,,,,,,
,Château Dauzac (Bordeaux),,,,,,,
2650,Meursault Ler Cru Perrieres  (Bouzereau)," R$ 3.937,00 "," R$ 2.676,65 ",6 X 750ml,19,Brancos,,
2829,Chassagne Montrachet Tinto (Bouzereau)," R$ 1.075,00 "," R$ 731,24 ",6 X 750ml,10,Tintos,,
,,,,,,,,
,Domaine Roger Belland (Bourgogne - Côte de Beaune),,,,,,,
1792,Santenay Comme-Dessus Branco (Belland)," R$ 1.200,00 "," R$ 815,21 ",6 X 750ml,137,Brancos,,
2469,Santenay 1Er Cru Beauregard Branco (Belland)," R$ 1.504,00 "," R$ 1.022,93 ",6 X 750ml,17,Brancos,,
1796,Santenay Charmes (Belland)," R$ 927,00 "," R$ 629,63 ",6 X 750ml,168,Tintos,,
2566,Pommard Les Cras (Belland)," R$ 1.794,00 "," R$ 1.218,89 ",6 X 750ml,46,Tintos,,
2471,Santenay 1Er Cru Beauregard Tinto (Belland)," R$ 1.226,00 "," R$ 833,46 ",6 X 750ml,45,Tintos,,
,,,,,,,,
,Suremain (Bourgogne-Côte Chalonnaise),,,,,,,
2740,Mercurey 1ER Cru Em Sazenay Branco (Suremain)," R$ 919,00 "," R$ 624,45 ",6 X 750ml,19,Brancos,,
2741,Mercurey Tinto (Suremain)," R$ 649,00 "," R$ 441,01 ",6 X 750ml,23,Tintos,,
2742,Mercurey 1ER Cru Em Sazenay Tinto (Suremain)," R$ 919,00 "," R$ 624,45 ",6 X 750ml,15,Tintos,,
,,,,,,,,
,Sébastien Giroux (Bourgogne-Mâconnais),,,,,,,
2755,Macon-Fuisse Vers Chanes (Sebastien Giroux)," R$ 468,00 "," R$ 317,95 ",6 X 750ml,44,Brancos,,
2756,Pouilly-Fuisse (Sebastien Giroux)," R$ 569,00 "," R$ 386,15 ",6 X 750ml,141,Brancos,,
2757,Pouilly-Fuisse Vieilles Vignes (Sebastien Giroux)," R$ 733,00 "," R$ 497,97 ",6 X 750ml,95,Brancos,,
2758,Pouilly-Fuisse 1ER Vignes Blanches (Sebastien Giroux)," R$ 998,00 "," R$ 678,80 ",6 X 750ml,54,Brancos,,
,,,,,,,,
,Marc Jambon (Beaujolais),,,,,,,
2759,Beaujolais-Villages (Marc Jambon) ," R$ 272,00 "," R$ 184,18 ",6 X 750ml,605,Tintos,,
2760,Morgon Les Charmes (Marc Jambon) ," R$ 350,00 "," R$ 238,63 ",6 X 750ml,95,Tintos,,
,,,,,,,,
,Alain Geoffroy (Chablis),,,,,,,
769,Petit Chablis (Alain Geoffroy)," R$ 392,00 "," R$ 265,46 ",6 X 750ml,1143,Brancos,,
770,Chablis Vieilles Vignes (Alain Geoffroy)," R$ 514,00 "," R$ 347,89 ",6 X 750ml,425,Brancos,,
1760,Chablis 1Er Cru Beauroy Vieilles Vignes (Alain Geoffroy)," R$ 665,00 "," R$ 451,88 ",6 X 750ml,17,Brancos,,
,,,,,,,,
,Kriter (Bourgogne),,,,,,,
373,Kriter Brut (Sovidis)," R$ 236,00 "," R$ 160,09 ",6 X 750ml,669,Frisantes e Espumantes,,
375,Kriter Rose (Sovidis)," R$ 236,00 "," R$ 160,09 ",6 X 750ml,649,Frisantes e Espumantes,,
,,,,,,,,
,Château de Tracy (Loire - Pouilly-Fumé),,,,,,,
799,Pouilly-Fume (De Tracy)," R$ 655,00 "," R$ 444,85 ",12 X 750ml,150,Brancos,,
,,,,,,,,
,Domaine du Salvard (Loire - Cheverny),,,,,,,
252,Cheverny Blanc Le Vieux Clos (Salvard)," R$ 290,00 "," R$ 195,72 ",12 X 750ml,717,Brancos,,
,,,,,,,,
,Château de Gillières (Loire),,,,,,,
2265,Muscadet Vieilles Vignes (Gillieres)," R$ 288,00 "," R$ 194,42 ",6 X 750ml,126,Brancos,,
2266,Muscadet Sur Lie (Gillieres)," R$ 208,00 "," R$ 140,58 ",6 X 750ml,302,Brancos,,
2267,Domaine De La Guillaudiere Rose (Gillieres)," R$ 178,00 "," R$ 118,88 ",6 X 750ml,144,Roses,,
,,,,,,,,
,Tracy e Cie (Loire),,,,,,,
2670,Sauvignon Les Marnes (Tracy)," R$ 317,00 "," R$ 214,60 ",12 X 750ml,138,Brancos,,
2853,Pouilly-Fume Argile A Silex (Tracy e Cie)," R$ 518,00 "," R$ 352,89 ",12 X 750ml,139,Brancos,,
,,,,,,,,
,Barnaut (Champagne - Montagne de Reims),,,,,,,
644,Grande Reserve Grand Cru  (Champagne Barnaut)," R$ 942,00 "," R$ 640,46 ",6 X 750ml,200,Frisantes e Espumantes,,
645,Blanc De Noirs Brut Grand Cru (Champagne Barnaut)," R$ 942,00 "," R$ 640,46 ",6 X 750ml,614,Frisantes e Espumantes,,
646,Authentique Rose Brut Grand Cru (Champagne Barnaut)," R$ 942,00 "," R$ 640,46 ",6 X 750ml,242,Frisantes e Espumantes,,
,,,,,,,,
,Paul Mas (Languedoc - Roussillon),,,,,,,
2732,Rivesaltes Ambre Hard D'age (Paul Mas) 375ml," R$ 224,00 "," R$ 151,47 ",12 X,386,Doces e Fortificados,,
2733,Prima Perla Brut Chardonnay (Paul Mas)," R$ 229,00 "," R$ 154,83 ",6 X 750ml,14,Frisantes e Espumantes,,
1484,Claude Val Blanc (Paul Mas)," R$ 123,00 "," R$ 82,61 ",12 X 750ml,5072,Brancos,,
1544,Paul Mas Vermentino (Paul Mas)," R$ 166,00 "," R$ 111,71 ",6 X 750ml,642,Brancos,,
1543,Paul Mas Viognier (Paul Mas)," R$ 213,00 "," R$ 143,33 ",6 X 750ml,1156,Brancos,,
2350,Paul Mas Gewurztraminer (Paul Mas)," R$ 172,00 "," R$ 115,06 ",6 X 750ml,299,Brancos,,
2875,Belluguette Blanc (Paul Mas)," R$ 338,00 "," R$ 229,64 ",6 X 750ml,60,Brancos,,NOVO
2543,Jardin De Roses Rose (Paul Mas) ," R$ 288,00 "," R$ 194,05 ",6 X 750ml,53,Roses,,
1550,Claude Val Rose (Paul Mas)," R$ 123,00 "," R$ 82,61 ",12 X 750ml,8922,Roses,,
2249,Claude Val Rose Magnum (Paul Mas)," R$ 278,00 "," R$ 187,05 ",6 X 1500ml,385,Roses,,
1498,Claude Val Rouge (Paul Mas)," R$ 123,00 "," R$ 82,61 ",12 X 750ml,6031,Tintos,,
1491,Paul Mas Syrah (Paul Mas)," R$ 166,00 "," R$ 111,51 ",6 X 750ml,200,Tintos,,
1492,Paul Mas Grenache Noir (Paul Mas)," R$ 166,00 "," R$ 111,51 ",12 X 750ml,140,Tintos,,
1490,Paul Mas Carignan Vieilles Vignes (Paul Mas)," R$ 213,00 "," R$ 143,33 ",6 X 750ml,373,Tintos,,
2873,Minervois Grand Vin (Pal Mas)," R$ 318,00 "," R$ 216,09 ",6 X 750ml,200,Tintos,,NOVO
2874,Terrasses Du Larzac Grand Vin (Paul Mas)," R$ 318,00 "," R$ 216,09 ",6 X 750ml,9,Tintos,,NOVO
1488,Ch. Paul Mas Clos Des Mures (Paul Mas)," R$ 338,00 "," R$ 228,34 ",6 X 750ml,711,Tintos,,
2876,Clos Savignac (Paul Mas)," R$ 427,00 "," R$ 290,31 ",6 X 750ml,344,Tintos,,NOVO
,,,,,,,,
,Arrogant Frog (Languedoc - Roussillon),,,,,,,
1483,Arrogant Frog Tutti-Frutti Branco (Paul Mas)," R$ 138,00 "," R$ 92,04 ",6 X 750ml,920,Brancos,,
1549,Arrogant Frog Sauvignon Blanc (Paul Mas)," R$ 178,00 "," R$ 119,09 ",6 X 750ml,343,Brancos,,
2570,Arrogant Frog Rose (Paul Mas)," R$ 138,00 "," R$ 92,04 ",6 X 750ml,566,Roses,,
2792,Arrogant Frog Orange (Paul Mas) ," R$ 209,00 "," R$ 140,88 ",6 X 750ml,606,Laranjas,,
1496,Arrogant Frog Tutti-Frutti Tinto (Paul Mas)," R$ 138,00 "," R$ 92,04 ",6 X 750ml,1357,Tintos,,
1548,Arrogant Frog Cabernet Merlot (Paul Mas)," R$ 178,00 "," R$ 119,09 ",6 X 750ml,344,Tintos,,
1495,Arrogant Frog Syrah Viognier (Paul Mas)," R$ 178,00 "," R$ 119,09 ",6 X 750ml,338,Tintos,,
1547,Arrogant Frog Pinot Noir (Paul Mas)," R$ 205,00 "," R$ 137,72 ",6 X 750ml,213,Tintos,,
1497,Arrogant Frog Reserve Gsm (Paul Mas)," R$ 205,00 "," R$ 137,72 ",6 X 750ml,42,Tintos,,
,,,,,,,,
,Paul Mas L'Artisan (Languedoc - Roussillon),,,,,,,
2724,Chardonnay Lartisan(Paul Mas)," R$ 205,00 "," R$ 139,50 ",6 X 750ml,21,Brancos,,
2726,Pinot Noir Lartisan (Paul Mas)," R$ 205,00 "," R$ 139,50 ",6 X 750ml,17,Tintos,,
2727,Grenache Lartisan (Paul Mas) ," R$ 205,00 "," R$ 139,50 ",6 X 750ml,126,Tintos,,
,,,,,,,,
,Château de Berne (Provence),,,,,,,
2780,Rose Romance (Chateau de Berne) ," R$ 234,00 "," R$ 158,62 ",6 X,2115,Roses,,
2781,Rose Inspiration (Chateau de Berne)," R$ 359,00 "," R$ 244,28 ",6 X,294,Roses,,
2782,Rose La Grande Cuvee (Chateaus de Berne)," R$ 527,00 "," R$ 357,68 ",6 X,76,Roses,,
,,,,,,,,
,Breban (Provence),,,,,,,
2425,Lavendette Rose (Breban)," R$ 191,00 "," R$ 129,55 ",12 X 750ml,427,Roses,,
2268,Lavendette Rose Magnum (Breban)," R$ 444,00 "," R$ 301,31 ",6 X 1500ml,22,Roses,,
,,,,,,,,
,Château de la Gardine (Rhône Sud),,,,,,,
622,Cotes Du Rhone Villages Rouge (Ch. La Gardine)," R$ 395,00 "," R$ 268,60 ",6 X 750ml,397,Tintos,,
624,Chateauneuf Du Pape Rouge (Ch. La Gardine) ," R$ 904,00 "," R$ 613,96 ",6 X 750ml,57,Tintos,,
,,,,,,,,
,Brunel Père Et Fils (Rhône Sud),,,,,,,
2491,Cotes Du Rhone Branco (Brunel)," R$ 222,00 "," R$ 148,92 ",6 X 750ml,1628,Brancos,,
2892,Condrieu (Brunel)," R$ 1.097,00 "," R$ 745,96 ",6 X 750ml,88,Brancos,,NOVO
2492,Cotes Du Rhone Tinto (Brunel)," R$ 222,00 "," R$ 148,92 ",6 X 750ml,1596,Tintos,,
1189,Cairanne (Brunel) ," R$ 290,00 "," R$ 194,97 ",6 X 750ml,737,Tintos,,
2572,Crozes-Hermitage (Brunel)," R$ 434,00 "," R$ 293,41 ",6 X 750ml,162,Tintos,,
1190,St. Joseph (Brunel) ," R$ 497,00 "," R$ 336,30 ",6 X 750ml,141,Tintos,,
